Text,ans1,ans2,ans3,ans4,ans5,Final
ครูอึ้ง! โดนเซอร์ไพรส์ แต่ดันเจอเซอร์ไพรส์กลับ..,5,5,5,5,5,5
วันนี้พระจันทร์น่ารักมาก :-),1,2,2,2,1,2
ฮือฮา! 'พระพุทธรูปสิ่งศักดิ์สิทธิ์' ที่อยู่ในสะพานเดินเรือหลวงสุโขทัย ยังตั้งตรงอยู่ที่เดิม แม้จมใต้ทะเลนานนับปี,5,5,5,5,5,5
"""กลัวเธอจะหนีไป..กลัวเธอจะใจร้าย""",4,4,4,0,4,4
มีคนแปลกหน้า เข้ามาหาเรื่องเรา,3,3,3,3,3,3
ขอให้พบเจอความรักที่ดีตลอดปีกันนะครับ :),2,2,2,2,2,2
คลาสสิคมากกกก ชอบ เขียนจดหมายถึงแฟน,2,2,2,1,2,2
"Social แห่หวาดกลัว BTC ลงหนัก กังวลได้เห็น $20,000-25,000",4,4,4,4,4,4
ฉันดีใจน้ำตาจะใหล,1,1,1,1,1,1
ขอให้หนูแข็งแรง เติบโตอยู่ในนี้นะ,2,2,2,2,2,2
ทรมานกับความรู้สึกแบบนี้ ไม่อยากตื่นมาเลย,0,0,0,0,0,0
แต่ที่ไม่มีคือความสุข ไม่มีอิสระ จะไปไหนทำอะไรก็ไม่ได้,0,0,0,0,0,0
ฉันจะไม่เปิดประตูบ้านทิ้งไว้เด็ดขาด ฉันกลัว!!,4,4,4,4,4,4
มีใครคุยเป็นเพื่อนเราได้บ้าง,0,0,0,0,0,0
เกิดเหตุการณ์ไม่คาดฝันในงานแต่งงานที่อุซเบกิสถาน เมื่อเจ้าบ่าวตบเจ้าสาวกลางงานระหว่างเล่นเกมทายขนม!,5,5,5,5,5,5
ข่าวดีประจำเดือน,1,1,1,1,1,1
ยาคูลท์เขาน่ารักมากจริงๆนะ,2,2,2,2,2,2
ดีมากจริงๆครับบ!!!!,1,1,1,1,1,1
อีดอก อี ตม.เกาหลี นี่ต้องถึงขั้นรู้ค่ารถไฟไปที่พัก ถึงจะเข้าประเทศมึงได้หรอ มึงบ้าป่ะไอ้ชายยย!!!!!,3,3,3,3,3,3
แบบนี้ไม่ได้นะ...จะมาให้ผู้ชายมานอนใต้ที่นั่ง ที่ผู้หญิงเค้านอน เป็นใครก็กลัว ถ้าเกิดอะไรขึ้นจะทำไง,4,4,4,4,4,4
ความปลอดภัยในการเดินทางอยู่ไหน???,4,4,4,4,4,4
186ชีวิต ระทึกกลางเวหา พาวเวอร์แบงก์แบงก์ ระเบิดบนเครื่องบิน,5,4,5,4,5,5
นักแสดงยังหลุดขำแล้วคนดูจะเหลือหรอ 5555555,1,1,1,1,1,1
เรื่องเกี่ยวกับสามีของเขาที่มีพฤติกรรมแปลกๆพอรู้ความจริงคือช้อคมาก มันมีจริงๆนะคนแบบนี้ เหมือนเราไม่รู้จักเขาเลย,5,4,4,4,5,4
พอคุณตากลับมาก็มาเก็นเรานั่งร้องไห้กอดเสาบ้าน คือ มันไม่รู้จะทำยังไงตอนนั้นอ่ะ มันเหนื่อยมากกก มันรับมือไม่ถูก,0,0,0,0,0,0
ตลกชิบหายคอนเทนต์พี่คนนี้ คิดได้ไง,1,1,1,1,1,1
ต้องฉากกังฟูแพนด้าตะโกนคุยบนหลังคาเลย 5555555555 ตอนดูครั้งแรก ขำพุ่ง😆เรียลมาก,1,1,1,1,1,1
กลัวประชาชนจะรู้ สิ่งต่างๆที่พวกท่านซุกไว้ใต้พรมอย่างนั้นหรือ??,3,3,3,3,3,3
แฟนคลับวงนี้ไม่มีมารยาทเลยนะเอาดี เขายังไม่ให้ไปยืนแต่ดูสภาพ ขวางทางเดินมากยิ่งกว่าลิงลพอีกอะ,3,3,3,3,3,3
ไม่มีผืนน้ำแข็งที่คุ้นเคยแล้ว โลกร้อนขึ้นจริงๆ สงสารน้องหมีมากกกก,0,0,0,0,0,0
ทำไมคุณพูดแบบนี้,0,5,0,0,0,0
ตลกมากตอนวิ่งโป๊ ออกมาจากห้องน้ำเพราะกางเกงไม่มีแล้ว,1,1,1,1,1,1
เลิกอยากมีสังคมนานแล้ว เบื่อการออกไปฟังคนอื่นนินทากัน,0,0,0,0,0,0
ฟสบุ๊คของคุณปู่เต็มไปด้วยรูปเซลฟี่ของโยริโกะคู่หูที่ไม่น่าจะเป็นไปได้,5,5,5,5,5,5
นี่คือมิตรภาพระหว่างมนุษย์และปลาอันยาวนาน,2,2,2,2,2,2
อยากอยู่ในวงการนานๆ อยากมีคนรักเยอะๆ ไม่ต้องเปลี่ยนชื่อค่ะ ไปเปลี่ยนสันดานก่อน⚡️🔥 หลักฐานมากี่โมง??ไม่มีเหตุผลใดๆที่ต้องทำร้ายผู้หญิง  ,3,3,3,3,3,3
ทำทุกครั้งที่เจอกันให้ สำคัญและน่าจดจำที่สุด...  จากครั้งแรกๆที่ทักว่าไม่ค่อยได้เห็น... ผ่านไปปีกว่าเห็นกันจนจำได้ละ #ดีใจ💕 ขอบคุณความรักความใส่ใจที่มีให้กันมาตลอด  อยู่เป็นกำลังใจให้กันแบบนี้ไปเรื่อยๆเลยโน๊ะ,2,2,2,2,2,2
กูทนได้ทุกอย่างบนโลก ยกเว้นอากาศร้อน,3,3,3,3,3,3
ทั้งหมาทั้งแมว ตอนแรกก็น่ารัก ตอนนี้อยากปล่อยวัด 😂,1,1,1,1,1,1
ระทึกกลางเวหา พาวเวอร์แบงก์แบงก์ ระเบิดบนเครื่องบิน ขณะบินจากดอนเมืองไปนครศรีฯ ลูกเรือไหวพริบดีใช้เวลาเพียง 2 นาที ดับไฟเรียบร้อย ผู้โดยสารปลอดภัยทุกคน,4,4,4,4,4,4
อย่าเรียกว่าหวยใต้ดิน มันดูหมิ่นกันเกินไป ให้เรียกว่าคณิตศาสตร์ชาวบ้านที่ไม่ประสานงานกับทางรัฐ,1,1,1,1,1,1
"บุคคลที่แย่ที่สุดคือ ""คนที่ปล่อยพลังลบ"" ใส่คนอื่นตลอดเวลา แต่ว่าไม่รู้ตัวว่าตัวเองคือ ""พลังลบ"" แล้วคิดว่าตัวเองเป็น ""คนดี""",3,3,3,3,3,3
แล้วคือคนไทยมันเป็นงี้จริงๆ ชวนแดกทั้งวัน เวลาซื้อของฝากไปให้ใครก็ซื้อของกิน แล้วชอบบอกว่ากินนิดหน่อยไม่อ้วน แต่ชวนกินทั้งวันนะ เจอหน้ากันก็คือถามว่ากินข้าวยัง กินไรก่อนปะ 555555555 เรื่องกินเรื่องใหญ่ของแท้ 55555555555555555,1,1,1,1,1,1
ตกใจเสียงกรี๊ดแระ เลยรีบเดินหลบกะถางต้นไม้ 😳😳😳🐍,5,5,5,5,5,5
กุก็ว่าเชฟเก่งแม่งไม่ธรรมดาแน่นอนเพราะว่าเชฟเก่งคือเชฟผู้ท้าชิงที่ชนะเชฟเอียนเชี้ยคือว้าวมากกกก🥹🤘🏻🤘🏻,5,5,5,5,5,5
เคอร์ทำผมทรงรับปริญญาอ่อ อย่างเหมือน 55555555555555555555555555555 ,1,1,1,1,1,1
คือเชฟเจมส์จะขี้โม้อะไรนี่ไม่ว่า ขออย่างเดียวคือขอให้สกิลผลงานดีเหมือนที่คุยเอาไว้ สงสารทีม จากนำๆอยู่กลับมาร่วงเลย นี่ลุ้นให้น้ำเงินทำคะแนนได้เยอะๆเพราะยังไงคะแนนต้องมาเสียที่เปียโร่อยู่แล้ว ถ้าวีคนี้ครัวน้ำเงินพัง ไม่ต้องสงสัยเลยว่าใครจะออก,3,3,3,3,3,3
ทำไมมันเขินจังอะ มันมีมวลอะคะเนี่ย มวลความรักหรอ ฟุ้งไปหมดเลย ตัดไปเขินไป 🤭🥰❤️,2,2,2,2,2,2
ร้องสดอ่ะแก~ ฉันนั่งยิ้มอยู่ที่หน้าจอ เก่งมากเจ้าเด็ก💕🥹,2,1,2,1,2,2
แค่สองปี เต่าบินจากเริ่มต้นก็ถึงจุดพีคแล้วเป็นขาลงเลย ไวมากเลย ถ้าสิ่งนี้เกิดในจีนหรืออเมริกาจะโตได้อีกมาก แต่ในไทยแปปเดียวเต็ม,5,5,5,5,5,5
เกิดเหตุการณ์ไม่คาดฝันในงานแต่งงานที่อุซเบกิสถาน เมื่อเจ้าบ่าวตบเจ้าสาวกลางงานระหว่างเล่นเกมทายขนม!,5,5,5,5,5,5
คัลเลนกับพี่จองบอกตอนไปแก่งกระจาน เดินเฉียดงูที่ชูคออยู่ด้วย แต่ตอนนั้นไม่รู้ว่าคืออะไร อิงๆตอนตัดคลิปก็ไม่เห็น นี่ลองย้อนดู เฮ้ยยย จริงด้วย งูตัวใหญ่ม๊ากกก โชคดีพี่จองไม่เดินไปเหยียบ 😭 บุดด้าคุ้มครองนะคะ ,5,5,5,5,5,5
ประเทศกูมาถึงจุดที่เด็กฆ่ากันเป็นเรื่องปกติแล้ว ไล่แทงไม่พอยังไปตามกระทืบบนรถ จนสุดท้ายอีกฝ่ายเสียชีวิต เราจะอยู่กันแบบนี้หรอวะ น่ากลัวมากจริงๆ  !!!!!!,4,4,4,4,4,4
คัลแลนดันพูดว่าน่าอร่อยแล้วเอื้อมมือไปจับ พี่จองเลยตีมือบอกไม่ดั่ยยย คัลแลนหงอยเลยไม่ด้ายหลอ 🥺,0,0,0,0,0,0
หลงไม่ไหวแล้วแก🥰🥰🥰🥰🥰🥰,2,2,2,2,2,2
หรือความจริงไม่เคยมีใครรักเรา การจากไปอาจจะไม่มีใครเสียใจก็ได้,0,0,0,0,0,0
ฉันโคตรดิ่งเลย ไม่อยากตื่นมารับรู้เรื่องราวในชีวิตเฮงซวยแบบนี้อีกแล้ว มีวิธีฆ่าตัวตายที่ทรมานน้อยที่สุดมั้ย ไม่อยากอยู่ โลกนี้มันไม่ได้น่าอยู่ มันไม่เหมาะกับฉัน ใครจะรู้บ้างว่าเด็กคนนึงต้องเจออะไร,0,0,0,0,0,0
